iter	Passed	Remaining
0	0	97
1	1	87
2	2	81
3	3	72
4	3	69
5	5	82
6	6	79
7	6	78
8	7	75
9	8	75
10	9	72
11	9	71
12	10	71
13	11	70
14	12	70
15	13	69
16	14	68
17	14	67
18	15	66
19	16	65
20	17	64
21	17	63
22	18	61
23	19	61
24	19	59
25	20	58
26	21	57
27	22	56
28	22	55
29	23	54
30	24	54
31	25	53
32	26	53
33	26	52
34	27	51
35	28	50
36	29	49
37	30	49
38	30	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	41
46	36	41
47	37	40
48	37	39
49	38	38
50	39	37
51	40	37
52	40	36
53	41	35
54	41	34
55	42	33
56	43	32
57	44	31
58	44	31
59	45	30
60	46	29
61	47	29
62	48	28
63	49	27
64	49	26
65	50	25
66	50	25
67	51	24
68	52	23
69	53	22
70	53	22
71	54	21
72	55	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	60	16
79	61	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	67	10
87	68	9
88	69	8
89	70	7
90	71	7
91	71	6
92	72	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	77	0
99	77	0
